recommendation_id,exception_id,agent_name,confidence_score,recommended_action,draft_subject,draft_message,approval_status,created_on
AR00000598,EX00000598,PO_OVERDUE_AGENT,0.9,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000133,"Hello, please provide an update for PO 4500000133 item 00050. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000599,EX00000599,PO_OVERDUE_AGENT,0.94,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000133,"Hello, please provide an update for PO 4500000133 item 00050. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000600,EX00000600,PO_OVERDUE_AGENT,0.83,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000133,"Hello, please provide an update for PO 4500000133 item 00060. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000601,EX00000601,PO_OVERDUE_AGENT,0.93,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000134,"Hello, please provide an update for PO 4500000134 item 00020. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000602,EX00000602,PO_OVERDUE_AGENT,0.88,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000134,"Hello, please provide an update for PO 4500000134 item 00020. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000603,EX00000603,SUPPLIER_ACK_AGENT,0.8,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000134,"Hello, please provide an update for PO 4500000134 item 00030. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000604,EX00000604,PO_OVERDUE_AGENT,0.94,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000136,"Hello, please provide an update for PO 4500000136 item 00010. Send expedite request and ask for revised commit date.",REJECTED,2026-05-28
AR00000605,EX00000605,PO_OVERDUE_AGENT,0.84,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000136,"Hello, please provide an update for PO 4500000136 item 00020. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000606,EX00000606,PO_OVERDUE_AGENT,0.76,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000136,"Hello, please provide an update for PO 4500000136 item 00020. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000607,EX00000607,SUPPLIER_ACK_AGENT,0.76,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000137,"Hello, please provide an update for PO 4500000137 item 00010. Send acknowledgement reminder and escalate if no response in 24 hours.",APPROVED,2026-05-28
AR00000608,EX00000608,PO_OVERDUE_AGENT,0.8,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000138,"Hello, please provide an update for PO 4500000138 item 00030. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000609,EX00000609,SUPPLIER_ACK_AGENT,0.96,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000138,"Hello, please provide an update for PO 4500000138 item 00040. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000610,EX00000610,SUPPLIER_ACK_AGENT,0.88,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000138,"Hello, please provide an update for PO 4500000138 item 00040. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000611,EX00000611,PO_OVERDUE_AGENT,0.9,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000138,"Hello, please provide an update for PO 4500000138 item 00050. Send expedite request and ask for revised commit date.",SENT,2026-05-28
AR00000612,EX00000612,PO_OVERDUE_AGENT,0.75,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000139,"Hello, please provide an update for PO 4500000139 item 00020. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000613,EX00000613,SUPPLIER_ACK_AGENT,0.83,Request split shipment or alternate source review.,Action required: SUPPLIER COMMIT LATE for PO 4500000139,"Hello, please provide an update for PO 4500000139 item 00030. Request split shipment or alternate source review.",PENDING,2026-05-28
AR00000614,EX00000614,PO_OVERDUE_AGENT,0.86,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000140,"Hello, please provide an update for PO 4500000140 item 00010. Send expedite request and ask for revised commit date.",APPROVED,2026-05-28
AR00000615,EX00000615,PO_OVERDUE_AGENT,0.91,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000140,"Hello, please provide an update for PO 4500000140 item 00010. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000616,EX00000616,PO_OVERDUE_AGENT,0.68,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000140,"Hello, please provide an update for PO 4500000140 item 00020. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000617,EX00000617,PO_OVERDUE_AGENT,0.86,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000140,"Hello, please provide an update for PO 4500000140 item 00020. Send expedite request and ask for revised commit date.",APPROVED,2026-05-28
AR00000618,EX00000618,PO_OVERDUE_AGENT,0.8,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000140,"Hello, please provide an update for PO 4500000140 item 00030. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000619,EX00000619,PO_OVERDUE_AGENT,0.81,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000140,"Hello, please provide an update for PO 4500000140 item 00040. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000620,EX00000620,PO_OVERDUE_AGENT,0.95,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000141,"Hello, please provide an update for PO 4500000141 item 00010. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000621,EX00000621,PO_OVERDUE_AGENT,0.79,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000141,"Hello, please provide an update for PO 4500000141 item 00020. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000622,EX00000622,PART_AVAILABILITY_AGENT,0.7,Review PO line status and remove from supply if cancelled.,Action required: DELETION FLAG ACTIVE for PO 4500000141,"Hello, please provide an update for PO 4500000141 item 00030. Review PO line status and remove from supply if cancelled.",PENDING,2026-05-28
AR00000623,EX00000623,PART_AVAILABILITY_AGENT,0.72,Review PO line status and remove from supply if cancelled.,Action required: DELETION FLAG ACTIVE for PO 4500000141,"Hello, please provide an update for PO 4500000141 item 00030. Review PO line status and remove from supply if cancelled.",APPROVED,2026-05-28
AR00000624,EX00000624,SUPPLIER_ACK_AGENT,0.94,Request split shipment or alternate source review.,Action required: SUPPLIER COMMIT LATE for PO 4500000141,"Hello, please provide an update for PO 4500000141 item 00050. Request split shipment or alternate source review.",PENDING,2026-05-28
AR00000625,EX00000625,PO_OVERDUE_AGENT,0.84,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000141,"Hello, please provide an update for PO 4500000141 item 00060. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000626,EX00000626,PO_OVERDUE_AGENT,0.88,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000142,"Hello, please provide an update for PO 4500000142 item 00010. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000627,EX00000627,PO_OVERDUE_AGENT,0.81,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000142,"Hello, please provide an update for PO 4500000142 item 00010. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000628,EX00000628,PO_OVERDUE_AGENT,0.69,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000142,"Hello, please provide an update for PO 4500000142 item 00020. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000629,EX00000629,PO_OVERDUE_AGENT,0.75,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000142,"Hello, please provide an update for PO 4500000142 item 00020. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000630,EX00000630,PO_OVERDUE_AGENT,0.85,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000142,"Hello, please provide an update for PO 4500000142 item 00030. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000631,EX00000631,SUPPLIER_ACK_AGENT,0.73,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000142,"Hello, please provide an update for PO 4500000142 item 00040. Send acknowledgement reminder and escalate if no response in 24 hours.",APPROVED,2026-05-28
AR00000632,EX00000632,PO_OVERDUE_AGENT,0.89,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000142,"Hello, please provide an update for PO 4500000142 item 00060. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000633,EX00000633,SUPPLIER_ACK_AGENT,0.78,Request split shipment or alternate source review.,Action required: SUPPLIER COMMIT LATE for PO 4500000143,"Hello, please provide an update for PO 4500000143 item 00050. Request split shipment or alternate source review.",PENDING,2026-05-28
AR00000634,EX00000634,SUPPLIER_ACK_AGENT,0.88,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000144,"Hello, please provide an update for PO 4500000144 item 00010. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000635,EX00000635,PO_OVERDUE_AGENT,0.95,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000144,"Hello, please provide an update for PO 4500000144 item 00010. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000636,EX00000636,PO_OVERDUE_AGENT,0.78,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000144,"Hello, please provide an update for PO 4500000144 item 00040. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000637,EX00000637,PO_OVERDUE_AGENT,0.86,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000144,"Hello, please provide an update for PO 4500000144 item 00050. Send expedite request and ask for revised commit date.",SENT,2026-05-28
AR00000638,EX00000638,PO_OVERDUE_AGENT,0.83,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000145,"Hello, please provide an update for PO 4500000145 item 00010. Send expedite request and ask for revised commit date.",REJECTED,2026-05-28
AR00000639,EX00000639,PO_OVERDUE_AGENT,0.71,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000145,"Hello, please provide an update for PO 4500000145 item 00020. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000640,EX00000640,PO_OVERDUE_AGENT,0.93,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000145,"Hello, please provide an update for PO 4500000145 item 00020. Send expedite request and ask for revised commit date.",SENT,2026-05-28
AR00000641,EX00000641,PO_OVERDUE_AGENT,0.77,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000145,"Hello, please provide an update for PO 4500000145 item 00030. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000642,EX00000642,SUPPLIER_ACK_AGENT,0.97,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000145,"Hello, please provide an update for PO 4500000145 item 00040. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000643,EX00000643,PO_OVERDUE_AGENT,0.89,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000145,"Hello, please provide an update for PO 4500000145 item 00040. Send expedite request and ask for revised commit date.",SENT,2026-05-28
AR00000644,EX00000644,PO_OVERDUE_AGENT,0.86,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000145,"Hello, please provide an update for PO 4500000145 item 00060. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000645,EX00000645,SUPPLIER_ACK_AGENT,0.72,Request split shipment or alternate source review.,Action required: SUPPLIER COMMIT LATE for PO 4500000147,"Hello, please provide an update for PO 4500000147 item 00020. Request split shipment or alternate source review.",PENDING,2026-05-28
AR00000646,EX00000646,SUPPLIER_ACK_AGENT,0.86,Request split shipment or alternate source review.,Action required: SUPPLIER COMMIT LATE for PO 4500000147,"Hello, please provide an update for PO 4500000147 item 00030. Request split shipment or alternate source review.",PENDING,2026-05-28
AR00000647,EX00000647,SUPPLIER_ACK_AGENT,0.85,Request split shipment or alternate source review.,Action required: SUPPLIER COMMIT LATE for PO 4500000147,"Hello, please provide an update for PO 4500000147 item 00030. Request split shipment or alternate source review.",PENDING,2026-05-28
AR00000648,EX00000648,PART_AVAILABILITY_AGENT,0.97,Review PO line status and remove from supply if cancelled.,Action required: DELETION FLAG ACTIVE for PO 4500000147,"Hello, please provide an update for PO 4500000147 item 00040. Review PO line status and remove from supply if cancelled.",PENDING,2026-05-28
AR00000649,EX00000649,PART_AVAILABILITY_AGENT,0.87,Review PO line status and remove from supply if cancelled.,Action required: DELETION FLAG ACTIVE for PO 4500000147,"Hello, please provide an update for PO 4500000147 item 00040. Review PO line status and remove from supply if cancelled.",PENDING,2026-05-28
AR00000650,EX00000650,PO_OVERDUE_AGENT,0.85,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000148,"Hello, please provide an update for PO 4500000148 item 00010. Send expedite request and ask for revised commit date.",APPROVED,2026-05-28
AR00000651,EX00000651,PO_OVERDUE_AGENT,0.82,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000148,"Hello, please provide an update for PO 4500000148 item 00010. Send expedite request and ask for revised commit date.",SENT,2026-05-28
AR00000652,EX00000652,SUPPLIER_ACK_AGENT,0.83,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000148,"Hello, please provide an update for PO 4500000148 item 00020. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000653,EX00000653,SUPPLIER_ACK_AGENT,0.69,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000148,"Hello, please provide an update for PO 4500000148 item 00020. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000654,EX00000654,PO_OVERDUE_AGENT,0.91,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000148,"Hello, please provide an update for PO 4500000148 item 00030. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000655,EX00000655,SUPPLIER_ACK_AGENT,0.78,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000148,"Hello, please provide an update for PO 4500000148 item 00050. Send acknowledgement reminder and escalate if no response in 24 hours.",SENT,2026-05-28
AR00000656,EX00000656,SUPPLIER_ACK_AGENT,0.87,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000148,"Hello, please provide an update for PO 4500000148 item 00050. Send acknowledgement reminder and escalate if no response in 24 hours.",APPROVED,2026-05-28
AR00000657,EX00000657,PO_OVERDUE_AGENT,0.88,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000148,"Hello, please provide an update for PO 4500000148 item 00050. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000658,EX00000658,PO_OVERDUE_AGENT,0.72,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000148,"Hello, please provide an update for PO 4500000148 item 00060. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000659,EX00000659,PO_OVERDUE_AGENT,0.95,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000150,"Hello, please provide an update for PO 4500000150 item 00010. Send expedite request and ask for revised commit date.",APPROVED,2026-05-28
AR00000660,EX00000660,PO_OVERDUE_AGENT,0.79,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000150,"Hello, please provide an update for PO 4500000150 item 00020. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000661,EX00000661,PO_OVERDUE_AGENT,0.76,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000150,"Hello, please provide an update for PO 4500000150 item 00030. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000662,EX00000662,SUPPLIER_ACK_AGENT,0.8,Request split shipment or alternate source review.,Action required: SUPPLIER COMMIT LATE for PO 4500000150,"Hello, please provide an update for PO 4500000150 item 00040. Request split shipment or alternate source review.",PENDING,2026-05-28
AR00000663,EX00000663,PO_OVERDUE_AGENT,0.82,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000150,"Hello, please provide an update for PO 4500000150 item 00040. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000664,EX00000664,PO_OVERDUE_AGENT,0.87,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000150,"Hello, please provide an update for PO 4500000150 item 00040. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000665,EX00000665,PO_OVERDUE_AGENT,0.94,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000151,"Hello, please provide an update for PO 4500000151 item 00020. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000666,EX00000666,PO_OVERDUE_AGENT,0.81,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000151,"Hello, please provide an update for PO 4500000151 item 00020. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000667,EX00000667,PO_OVERDUE_AGENT,0.96,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000151,"Hello, please provide an update for PO 4500000151 item 00020. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000668,EX00000668,SUPPLIER_ACK_AGENT,0.79,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000152,"Hello, please provide an update for PO 4500000152 item 00010. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000669,EX00000669,SUPPLIER_ACK_AGENT,0.87,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000152,"Hello, please provide an update for PO 4500000152 item 00020. Send acknowledgement reminder and escalate if no response in 24 hours.",REJECTED,2026-05-28
AR00000670,EX00000670,SUPPLIER_ACK_AGENT,0.82,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000152,"Hello, please provide an update for PO 4500000152 item 00020. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000671,EX00000671,SUPPLIER_ACK_AGENT,0.85,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000152,"Hello, please provide an update for PO 4500000152 item 00030. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000672,EX00000672,SUPPLIER_ACK_AGENT,0.73,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000152,"Hello, please provide an update for PO 4500000152 item 00030. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000673,EX00000673,SUPPLIER_ACK_AGENT,0.92,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000152,"Hello, please provide an update for PO 4500000152 item 00040. Send acknowledgement reminder and escalate if no response in 24 hours.",SENT,2026-05-28
AR00000674,EX00000674,SUPPLIER_ACK_AGENT,0.69,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000152,"Hello, please provide an update for PO 4500000152 item 00040. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000675,EX00000675,PO_OVERDUE_AGENT,0.7,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000152,"Hello, please provide an update for PO 4500000152 item 00050. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000676,EX00000676,SUPPLIER_ACK_AGENT,0.93,Request split shipment or alternate source review.,Action required: SUPPLIER COMMIT LATE for PO 4500000154,"Hello, please provide an update for PO 4500000154 item 00030. Request split shipment or alternate source review.",APPROVED,2026-05-28
AR00000677,EX00000677,SUPPLIER_ACK_AGENT,0.89,Request split shipment or alternate source review.,Action required: SUPPLIER COMMIT LATE for PO 4500000154,"Hello, please provide an update for PO 4500000154 item 00040. Request split shipment or alternate source review.",PENDING,2026-05-28
AR00000678,EX00000678,SUPPLIER_ACK_AGENT,0.86,Request split shipment or alternate source review.,Action required: SUPPLIER COMMIT LATE for PO 4500000154,"Hello, please provide an update for PO 4500000154 item 00040. Request split shipment or alternate source review.",PENDING,2026-05-28
AR00000679,EX00000679,SUPPLIER_ACK_AGENT,0.84,Request split shipment or alternate source review.,Action required: SUPPLIER COMMIT LATE for PO 4500000154,"Hello, please provide an update for PO 4500000154 item 00040. Request split shipment or alternate source review.",PENDING,2026-05-28
AR00000680,EX00000680,SUPPLIER_ACK_AGENT,0.85,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000154,"Hello, please provide an update for PO 4500000154 item 00050. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000681,EX00000681,SUPPLIER_ACK_AGENT,0.86,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000154,"Hello, please provide an update for PO 4500000154 item 00050. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000682,EX00000682,SUPPLIER_ACK_AGENT,0.86,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000154,"Hello, please provide an update for PO 4500000154 item 00050. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000683,EX00000683,SUPPLIER_ACK_AGENT,0.79,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000156,"Hello, please provide an update for PO 4500000156 item 00010. Send acknowledgement reminder and escalate if no response in 24 hours.",APPROVED,2026-05-28
AR00000684,EX00000684,PO_OVERDUE_AGENT,0.7,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000157,"Hello, please provide an update for PO 4500000157 item 00010. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000685,EX00000685,PO_OVERDUE_AGENT,0.81,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000157,"Hello, please provide an update for PO 4500000157 item 00020. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000686,EX00000686,PO_OVERDUE_AGENT,0.91,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000157,"Hello, please provide an update for PO 4500000157 item 00030. Send expedite request and ask for revised commit date.",APPROVED,2026-05-28
AR00000687,EX00000687,PO_OVERDUE_AGENT,0.82,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000157,"Hello, please provide an update for PO 4500000157 item 00030. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000688,EX00000688,SUPPLIER_ACK_AGENT,0.69,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000159,"Hello, please provide an update for PO 4500000159 item 00020. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000689,EX00000689,SUPPLIER_ACK_AGENT,0.79,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000159,"Hello, please provide an update for PO 4500000159 item 00020. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000690,EX00000690,PO_OVERDUE_AGENT,0.88,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000159,"Hello, please provide an update for PO 4500000159 item 00030. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000691,EX00000691,SUPPLIER_ACK_AGENT,0.9,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000159,"Hello, please provide an update for PO 4500000159 item 00030. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000692,EX00000692,PO_OVERDUE_AGENT,0.7,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000161,"Hello, please provide an update for PO 4500000161 item 00020. Send expedite request and ask for revised commit date.",SENT,2026-05-28
AR00000693,EX00000693,SUPPLIER_ACK_AGENT,0.72,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000161,"Hello, please provide an update for PO 4500000161 item 00020. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000694,EX00000694,SUPPLIER_ACK_AGENT,0.95,Request split shipment or alternate source review.,Action required: SUPPLIER COMMIT LATE for PO 4500000161,"Hello, please provide an update for PO 4500000161 item 00030. Request split shipment or alternate source review.",APPROVED,2026-05-28
AR00000695,EX00000695,PO_OVERDUE_AGENT,0.91,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000161,"Hello, please provide an update for PO 4500000161 item 00040. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000696,EX00000696,PO_OVERDUE_AGENT,0.77,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000161,"Hello, please provide an update for PO 4500000161 item 00040. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000697,EX00000697,PO_OVERDUE_AGENT,0.75,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000162,"Hello, please provide an update for PO 4500000162 item 00010. Send expedite request and ask for revised commit date.",SENT,2026-05-28
AR00000698,EX00000698,PO_OVERDUE_AGENT,0.89,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000162,"Hello, please provide an update for PO 4500000162 item 00030. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000699,EX00000699,SUPPLIER_ACK_AGENT,0.9,Request split shipment or alternate source review.,Action required: SUPPLIER COMMIT LATE for PO 4500000162,"Hello, please provide an update for PO 4500000162 item 00040. Request split shipment or alternate source review.",SENT,2026-05-28
AR00000700,EX00000700,SUPPLIER_ACK_AGENT,0.72,Request split shipment or alternate source review.,Action required: SUPPLIER COMMIT LATE for PO 4500000162,"Hello, please provide an update for PO 4500000162 item 00040. Request split shipment or alternate source review.",APPROVED,2026-05-28
AR00000701,EX00000701,SUPPLIER_ACK_AGENT,0.79,Request split shipment or alternate source review.,Action required: SUPPLIER COMMIT LATE for PO 4500000162,"Hello, please provide an update for PO 4500000162 item 00040. Request split shipment or alternate source review.",PENDING,2026-05-28
AR00000702,EX00000702,PO_OVERDUE_AGENT,0.95,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000162,"Hello, please provide an update for PO 4500000162 item 00050. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000703,EX00000703,PART_AVAILABILITY_AGENT,0.85,Review PO line status and remove from supply if cancelled.,Action required: DELETION FLAG ACTIVE for PO 4500000162,"Hello, please provide an update for PO 4500000162 item 00050. Review PO line status and remove from supply if cancelled.",PENDING,2026-05-28
AR00000704,EX00000704,PO_OVERDUE_AGENT,0.69,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000163,"Hello, please provide an update for PO 4500000163 item 00010. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000705,EX00000705,SUPPLIER_ACK_AGENT,0.73,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000163,"Hello, please provide an update for PO 4500000163 item 00020. Send acknowledgement reminder and escalate if no response in 24 hours.",APPROVED,2026-05-28
AR00000706,EX00000706,PO_OVERDUE_AGENT,0.7,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000163,"Hello, please provide an update for PO 4500000163 item 00020. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
